country,iso2,iso3,iso_numeric,year,measure,unit,age_group,sex,risk_factor,best,lo,hi
Afghanistan,AF,AFG,4,2018,inc,num,0-14,a,all,14000,7400.0,21000.0
Afghanistan,AF,AFG,4,2018,inc,num,0-14,f,all,6800,2200.0,11000.0
Afghanistan,AF,AFG,4,2018,inc,num,0-14,m,all,7300,2400.0,12000.0
Afghanistan,AF,AFG,4,2018,inc,num,0-4,f,all,2700,0.0,6700.0
Afghanistan,AF,AFG,4,2018,inc,num,0-4,m,all,3200,0.0,8100.0
Afghanistan,AF,AFG,4,2018,inc,num,15-24,f,all,7400,0.0,18000.0
Afghanistan,AF,AFG,4,2018,inc,num,15-24,m,all,5900,0.0,15000.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,a,all,56000,30000.0,83000.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,a,alc,440,0.0,2200.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,a,dia,3100,56.0,12000.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,f,alc,67,3.0,220.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,f,dia,1600,170.0,4600.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,f,all,29000,9600.0,49000.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,m,all,27000,8900.0,45000.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,m,alc,370,21.0,1200.0
Afghanistan,AF,AFG,4,2018,inc,num,15plus,m,dia,1500,150.0,4300.0
Afghanistan,AF,AFG,4,2018,inc,num,25-34,f,all,6000,0.0,15000.0
Afghanistan,AF,AFG,4,2018,inc,num,25-34,m,all,5200,0.0,13000.0
Afghanistan,AF,AFG,4,2018,inc,num,35-44,f,all,5000,0.0,12000.0
Afghanistan,AF,AFG,4,2018,inc,num,35-44,m,all,4900,0.0,12000.0
Afghanistan,AF,AFG,4,2018,inc,num,45-54,f,all,4000,0.0,10000.0
Afghanistan,AF,AFG,4,2018,inc,num,45-54,m,all,3700,0.0,9200.0
Afghanistan,AF,AFG,4,2018,inc,num,5-14,f,all,4100,0.0,10000.0
Afghanistan,AF,AFG,4,2018,inc,num,5-14,m,all,4000,0.0,10000.0
Afghanistan,AF,AFG,4,2018,inc,num,55-64,f,all,3700,0.0,9400.0
Afghanistan,AF,AFG,4,2018,inc,num,55-64,m,all,3300,0.0,8200.0
Afghanistan,AF,AFG,4,2018,inc,num,65plus,f,all,3000,0.0,7400.0
Afghanistan,AF,AFG,4,2018,inc,num,65plus,m,all,4100,0.0,10000.0
Afghanistan,AF,AFG,4,2018,inc,num,all,a,all,70000,43000.0,98000.0
Afghanistan,AF,AFG,4,2018,inc,num,all,a,hiv,340,62.0,860.0
Afghanistan,AF,AFG,4,2018,inc,num,all,a,und,28000,18000.0,40000.0
Afghanistan,AF,AFG,4,2018,inc,num,all,f,all,36000,16000.0,56000.0
Afghanistan,AF,AFG,4,2018,inc,num,all,m,all,34000,15000.0,53000.0
Albania,AL,ALB,8,2018,inc,num,0-14,a,all,5,4.0,5.0
Albania,AL,ALB,8,2018,inc,num,0-14,f,all,0,0.0,0.0
Albania,AL,ALB,8,2018,inc,num,0-14,m,all,5,4.0,5.0
Albania,AL,ALB,8,2018,inc,num,0-4,f,all,0,0.0,0.0
Albania,AL,ALB,8,2018,inc,num,0-4,m,all,1,1.0,2.0
Albania,AL,ALB,8,2018,inc,num,15-24,f,all,24,13.0,35.0
Albania,AL,ALB,8,2018,inc,num,15-24,m,all,69,38.0,100.0
Albania,AL,ALB,8,2018,inc,num,15plus,a,all,500,430.0,580.0
