"WHO region","Year","Number of incident tuberculosis cases","Incidence of tuberculosis (per 100 000 population per year)","Number of incident tuberculosis cases in children aged 0 - 14","Number of incident tuberculosis cases,  (HIV-positive cases)","Incidence of tuberculosis (per 100 000 population) (HIV-positive cases)"
"Global"," 2019","9960000 [8940000-11000000]","130 [116-143]","1190000 [1050000-1330000]","815000 [729000-906000]","11 [9.50-12]"
"Global"," 2018","10100000 [9050000-11200000]","133 [119-147]","","898000 [798000-1000000]","12 [10-13]"
"Global"," 2017","10200000 [9140000-11300000]","135 [122-150]","","946000 [842000-1060000]","13 [11-14]"
"Global"," 2016","10300000 [9170000-11500000]","138 [123-154]","","1030000 [911000-1150000]","14 [12-15]"
"Global"," 2015","10500000 [9210000-11800000]","142 [125-160]","","1130000 [997000-1270000]","15 [14-17]"
"Global"," 2014","10600000 [9240000-12000000]","145 [127-165]","","1240000 [1090000-1400000]","17 [15-19]"
"Global"," 2013","10700000 [9010000-12500000]","149 [125-174]","","1320000 [1150000-1490000]","18 [16-21]"
"Global"," 2012","10800000 [9120000-12600000]","152 [128-178]","","1390000 [1170000-1630000]","20 [16-23]"
"Global"," 2011","10900000 [9180000-12700000]","155 [131-181]","","1440000 [1230000-1680000]","21 [17-24]"
"Global"," 2010","10900000 [9200000-12800000]","158 [133-185]","","1470000 [1210000-1760000]","21 [17-25]"
"Global"," 2009","11100000 [9300000-12900000]","161 [136-189]","","1520000 [1250000-1820000]","22 [18-27]"
"Global"," 2008","11100000 [9310000-13000000]","164 [138-192]","","1500000 [1220000-1810000]","22 [18-27]"
"Global"," 2007","11100000 [9330000-13100000]","167 [140-196]","","1530000 [1260000-1830000]","23 [19-27]"
"Global"," 2006","11200000 [9360000-13100000]","169 [142-199]","","1550000 [1240000-1890000]","23 [19-29]"
"Global"," 2005","11200000 [9340000-13100000]","171 [143-201]","","1480000 [1180000-1820000]","23 [18-28]"
"Global"," 2004","11100000 [9300000-13100000]","173 [144-203]","","1420000 [1140000-1740000]","22 [18-27]"
"Global"," 2003","11000000 [9240000-13000000]","174 [145-204]","","1400000 [1120000-1710000]","22 [18-27]"
"Global"," 2002","10900000 [9120000-12800000]","174 [145-205]","","1390000 [1110000-1700000]","22 [18-27]"
"Global"," 2001","10800000 [9010000-12700000]","174 [145-205]","","1420000 [1130000-1740000]","23 [18-28]"
"Global"," 2000","10600000 [8890000-12500000]","174 [145-205]","","1470000 [1160000-1810000]","24 [19-30]"
"Africa"," 2019","2460000 [2190000-2750000]","226 [201-252]","355000 [308000-401000]","595000 [515000-680000]","54 [47-62]"
"Africa"," 2018","2490000 [2220000-2780000]","234 [209-262]","","652000 [560000-750000]","61 [53-71]"
"Africa"," 2017","2520000 [2240000-2810000]","243 [216-271]","","712000 [614000-817000]","69 [59-79]"
"Africa"," 2016","2550000 [2270000-2850000]","253 [225-282]","","774000 [666000-891000]","77 [66-88]"
"Africa"," 2015","2650000 [2360000-2970000]","270 [240-302]","","851000 [729000-982000]","87 [74-100]"
